"월별(1)",2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020
"월별(1)",기온 (℃),기온 (℃),기온 (℃),기온 (℃),기온 (℃),강수량 (㎜),상대습도 (%),상대습도 (%),평균해면기압 (hpa),이슬점온도 (℃),평균운량 (10%),일조시간 (h),최심신적설 (㎝),바람 (m/s),바람 (m/s),바람 (m/s)
"월별(1)",평균,평균최고,최고극값,평균최저,최저극값,소계,평균,최소,소계,소계,소계,소계,소계,평균풍속,평균 최대 순간풍속,최대 순간풍속
"합계",15.0,20.0,35.7,11.0,-7.3,1821.0,61.3,8.0,1016.4,6.8,5.2,2294.8,...,1.7,10.7,15.1
"1월",5.4,10.0,16.7,2.1,-5.4,78.2,57.0,13.0,1022.3,-3.1,5.4,157.8,...,1.9,9.8,14.1
"2월",6.3,11.5,18.6,1.8,-6.0,41.4,54.0,10.0,1024.0,-3.4,4.4,199.8,...,2.0,8.5,11.6
"3월",10.0,15.9,22.5,4.9,-0.5,41.2,52.0,10.0,1017.6,-0.6,4.0,248.7,...,2.1,10.7,13.0
"4월",12.6,18.9,24.0,7.2,3.3,54.0,44.0,8.0,1017.3,-1.0,3.5,276.3,...,2.2,8.3,12.1
"5월",18.7,23.8,29.3,14.4,11.1,176.9,66.0,15.0,1010.7,11.3,5.9,205.9,...,1.6,7.4,8.8
"6월",23.2,28.4,32.8,19.1,14.5,353.0,70.0,23.0,1006.6,16.8,6.1,212.3,...,1.3,5.5,7.5
"7월",22.9,26.5,31.7,20.5,18.0,483.1,84.0,46.0,1007.1,19.7,8.0,74.7,...,1.3,6.8,9.7
"8월",27.5,31.6,35.7,24.7,23.1,336.5,79.0,41.0,1009.7,23.3,6.1,171.0,...,1.3,7.9,10.3
"9월",21.7,25.9,30.9,18.2,13.4,199.8,69.0,29.0,1011.4,15.4,6.2,158.2,...,2.0,10.1,15.1
"10월",16.6,22.2,27.3,12.2,7.5,33.9,54.0,9.0,1019.7,6.6,4.7,219.4,...,1.6,7.0,10.5
"11월",11.5,16.5,23.4,7.0,0.8,11.0,56.0,14.0,1024.4,2.4,4.2,170.3,...,1.8,7.3,10.1
"12월",3.7,9.1,14.5,-0.3,-7.3,12.0,51.0,9.0,1025.8,-6.3,3.8,200.4,...,1.8,8.1,11.8
